51
# x y z
0	89.442	0
2	89.291	0
4	89.356	0
6	89.28	0
8	89.061	0
10	89.137	0
12	89.136	0
14	88.967	0
16	88.874	0
18	88.782	0
20	88.932	0
21	89.082	0
22	89.081	0
23	88.943	0
24	89.042	0
25	89.087	0
26	89.235	0
27	89.251	0
28	89.427	0
29	89.466	0
30	89.428	0
31	89.198	0
32	89.056	0
33	88.822	0
34	88.764	0
35	88.608	0
36	88.544	0
37	88.444	0
38	88.528	0
39	88.54	0
40	88.741	0
41	88.764	0
42	88.595	0
43	89.004	0
44	88.81	0
45	88.717	0
46	88.643	0
47	88.569	0
48	88.571	0
49	88.553	0
50	88.488	0
51	88.517	0
52	88.344	0
53	88.249	0
54	88.348	0
55	88.451	0
56	88.449	0
57	88.545	0
58	88.539	0
59	88.606	0
60	88.313	0
232
# a b m n r
1	4	2	3	1.02918000000000e+01
2	5	3	4	2.34678000000000e+02
1	7	3	5	2.38520000000000e+02
3	6	4	5	3.93687000000000e+01
2	8	4	6	4.89556000000000e+00
4	7	5	6	4.26508000000000e+02
1	10	4	7	4.25504000000000e-01
3	9	5	7	2.75876000000000e+00
5	8	6	7	4.44476000000000e+00
2	11	5	8	-9.63076000000000e+01
1	15	5	9	-2.37301000000000e+02
4	10	6	8	1.76189000000000e+02
6	9	7	8	6.00405000000000e+02
3	13	6	9	-1.67026000000000e+02
2	17	6	10	-2.36999000000000e+02
5	11	7	9	8.86990000000000e+01
1	21	6	11	3.61395000000000e+01
7	10	8	9	1.45407000000000e+01
4	15	7	10	4.22325000000000e+01
3	19	7	11	4.83415000000000e+01
6	13	8	10	9.11807000000000e+00
8	11	9	10	2.90142000000000e+01
2	23	7	13	5.70583000000000e+01
5	17	8	11	7.82612000000000e+01
7	15	9	11	9.36829000000000e+01
1	27	7	15	7.87746000000000e+01
4	21	8	13	9.47722000000000e+01
3	25	8	15	2.59258000000000e+02
9	13	10	11	2.53048000000000e+02
6	19	9	13	9.66615000000000e+01
2	29	8	17	2.29741000000000e+02
8	17	10	13	2.56431000000000e+02
5	23	9	15	1.00404000000000e+02
4	27	9	17	1.12086000000000e+02
1	33	8	19	2.91644000000000e+02
7	21	10	15	1.11050000000000e+02
10	15	11	13	7.98308000000000e+01
11	14	12	13	9.47814000000000e+01
3	31	9	19	3.29150000000000e+02
9	19	11	15	8.69735000000000e+01
6	25	10	17	1.04382000000000e+02
12	15	13	14	1.12192000000000e+02
11	17	13	15	1.05631000000000e+02
5	29	10	19	1.06948000000000e+02
2	35	9	21	2.62372000000000e+02
8	23	11	17	9.37592000000000e+01
13	16	14	15	1.18717000000000e+02
12	18	14	16	1.14594000000000e+02
4	33	10	21	1.11703000000000e+02
1	39	9	23	3.45221000000000e+02
10	21	13	17	7.90270000000000e+01
7	27	11	19	8.02066000000000e+01
14	17	15	16	1.29201000000000e+02
11	20	14	17	1.02756000000000e+02
13	19	15	17	1.12292000000000e+02
3	37	10	23	2.93703000000000e+02
6	31	11	21	8.05794000000000e+01
9	25	13	19	7.91983000000000e+01
12	21	15	18	1.09117000000000e+02
15	18	16	17	1.23785000000000e+02
14	20	16	18	1.09578000000000e+02
5	35	11	23	7.75263000000000e+01
8	29	13	21	7.99583000000000e+01
11	23	15	19	9.42897000000000e+01
2	41	10	25	3.39137000000000e+02
16	19	17	18	1.30699000000000e+02
13	22	16	19	1.03044000000000e+02
15	21	17	19	1.13784000000000e+02
10	27	15	21	6.77228000000000e+01
4	39	11	25	7.43820000000000e+01
1	45	10	27	3.59063000000000e+02
7	33	13	23	7.55154000000000e+01
17	20	18	19	1.17362000000000e+02
14	23	17	20	9.86302000000000e+01
16	22	18	20	1.13648000000000e+02
6	37	13	25	7.46225000000000e+01
3	43	11	27	1.05361000000000e+02
9	31	15	23	7.32648000000000e+01
13	25	17	21	8.58322000000000e+01
15	24	18	21	8.79918000000000e+01
18	21	19	20	1.37422000000000e+02
2	47	11	29	1.13144000000000e+02
8	35	15	25	7.30722000000000e+01
5	41	13	27	6.73674000000000e+01
17	23	19	21	9.09895000000000e+01
11	29	17	23	8.75420000000000e+01
16	25	19	22	8.91926000000000e+01
19	22	20	21	8.73669000000000e+01
7	39	15	27	6.55371000000000e+01
1	51	11	31	1.17242000000000e+02
4	45	13	29	6.55027000000000e+01
10	33	17	25	6.49473000000000e+01
18	24	20	22	8.90761000000000e+01
15	27	19	23	9.43292000000000e+01
20	23	21	22	1.16686000000000e+02
17	26	20	23	9.77931000000000e+01
19	25	21	23	1.17499000000000e+02
6	43	15	29	6.56967000000000e+01
3	49	13	31	7.66804000000000e+01
